station,date,PRCP,SNOW,TMAX,TMIN,Store,City,Is College,Number,id
NYC,2022-03-01,0.0,0.0,48.02,31.1,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-01,0.0,0.0,48.02,31.1,Brooklyn ,New York,0,182,1228
NYC,2022-03-01,0.0,0.0,48.02,31.1,East Village,New York,0,49,1093
NYC,2022-03-01,0.0,0.0,48.02,31.1,Harlem,New York,0,158,1215
NYC,2022-03-01,0.0,0.0,48.02,31.1,Hempstead,New York,0,280,2103
NYC,2022-03-01,0.0,0.0,48.02,31.1,Lower East Side,New York,0,71,1121
NYC,2022-03-01,0.0,0.0,48.02,31.1,Midtown East,New York,0,34,1058
NYC,2022-03-01,0.0,0.0,48.02,31.1,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-01,0.0,0.0,48.02,31.1,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-02,0.0,0.0,51.98,39.92,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-02,0.0,0.0,51.98,39.92,Brooklyn ,New York,0,182,1228
NYC,2022-03-02,0.0,0.0,51.98,39.92,East Village,New York,0,49,1093
NYC,2022-03-02,0.0,0.0,51.98,39.92,Harlem,New York,0,158,1215
NYC,2022-03-02,0.0,0.0,51.98,39.92,Hempstead,New York,0,280,2103
NYC,2022-03-02,0.0,0.0,51.98,39.92,Lower East Side,New York,0,71,1121
NYC,2022-03-02,0.0,0.0,51.98,39.92,Midtown East,New York,0,34,1058
NYC,2022-03-02,0.0,0.0,51.98,39.92,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-02,0.0,0.0,51.98,39.92,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Brooklyn ,New York,0,182,1228
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,East Village,New York,0,49,1093
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Harlem,New York,0,158,1215
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Hempstead,New York,0,280,2103
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Lower East Side,New York,0,71,1121
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Midtown East,New York,0,34,1058
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-03,0.3149606299212598,0.0,48.02,24.26,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-04,0.0,0.0,37.04,21.2,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-04,0.0,0.0,37.04,21.2,Brooklyn ,New York,0,182,1228
NYC,2022-03-04,0.0,0.0,37.04,21.2,East Village,New York,0,49,1093
NYC,2022-03-04,0.0,0.0,37.04,21.2,Harlem,New York,0,158,1215
NYC,2022-03-04,0.0,0.0,37.04,21.2,Hempstead,New York,0,280,2103
NYC,2022-03-04,0.0,0.0,37.04,21.2,Lower East Side,New York,0,71,1121
NYC,2022-03-04,0.0,0.0,37.04,21.2,Midtown East,New York,0,34,1058
NYC,2022-03-04,0.0,0.0,37.04,21.2,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-04,0.0,0.0,37.04,21.2,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-05,0.0,0.0,46.04,32.0,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-05,0.0,0.0,46.04,32.0,Brooklyn ,New York,0,182,1228
NYC,2022-03-05,0.0,0.0,46.04,32.0,East Village,New York,0,49,1093
NYC,2022-03-05,0.0,0.0,46.04,32.0,Harlem,New York,0,158,1215
NYC,2022-03-05,0.0,0.0,46.04,32.0,Hempstead,New York,0,280,2103
NYC,2022-03-05,0.0,0.0,46.04,32.0,Lower East Side,New York,0,71,1121
NYC,2022-03-05,0.0,0.0,46.04,32.0,Midtown East,New York,0,34,1058
NYC,2022-03-05,0.0,0.0,46.04,32.0,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-05,0.0,0.0,46.04,32.0,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Brooklyn ,New York,0,182,1228
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,East Village,New York,0,49,1093
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Harlem,New York,0,158,1215
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Hempstead,New York,0,280,2103
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Lower East Side,New York,0,71,1121
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Midtown East,New York,0,34,1058
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-06,0.5905511811023623,0.0,68.0,42.98,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Brooklyn ,New York,0,182,1228
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,East Village,New York,0,49,1093
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Harlem,New York,0,158,1215
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Hempstead,New York,0,280,2103
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Lower East Side,New York,0,71,1121
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Midtown East,New York,0,34,1058
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-07,0.3149606299212598,0.0,73.94,50.0,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-08,0.0,0.0,50.0,39.02,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-08,0.0,0.0,50.0,39.02,Brooklyn ,New York,0,182,1228
NYC,2022-03-08,0.0,0.0,50.0,39.02,East Village,New York,0,49,1093
NYC,2022-03-08,0.0,0.0,50.0,39.02,Harlem,New York,0,158,1215
NYC,2022-03-08,0.0,0.0,50.0,39.02,Hempstead,New York,0,280,2103
NYC,2022-03-08,0.0,0.0,50.0,39.02,Lower East Side,New York,0,71,1121
NYC,2022-03-08,0.0,0.0,50.0,39.02,Midtown East,New York,0,34,1058
NYC,2022-03-08,0.0,0.0,50.0,39.02,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-08,0.0,0.0,50.0,39.02,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Brooklyn ,New York,0,182,1228
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,East Village,New York,0,49,1093
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Harlem,New York,0,158,1215
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Hempstead,New York,0,280,2103
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Lower East Side,New York,0,71,1121
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Midtown East,New York,0,34,1058
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-09,5.590551181102363,0.3937007874015748,41.0,33.08,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-10,0.0,0.0,51.08,33.08,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-10,0.0,0.0,51.08,33.08,Brooklyn ,New York,0,182,1228
NYC,2022-03-10,0.0,0.0,51.08,33.08,East Village,New York,0,49,1093
NYC,2022-03-10,0.0,0.0,51.08,33.08,Harlem,New York,0,158,1215
NYC,2022-03-10,0.0,0.0,51.08,33.08,Hempstead,New York,0,280,2103
NYC,2022-03-10,0.0,0.0,51.08,33.08,Lower East Side,New York,0,71,1121
NYC,2022-03-10,0.0,0.0,51.08,33.08,Midtown East,New York,0,34,1058
NYC,2022-03-10,0.0,0.0,51.08,33.08,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-10,0.0,0.0,51.08,33.08,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Brooklyn ,New York,0,182,1228
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,East Village,New York,0,49,1093
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Harlem,New York,0,158,1215
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Hempstead,New York,0,280,2103
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Lower East Side,New York,0,71,1121
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Midtown East,New York,0,34,1058
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-11,0.0,0.0,55.040000000000006,39.92,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-12,5.0,0.0,48.02,24.26,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-12,5.0,0.0,48.02,24.26,Brooklyn ,New York,0,182,1228
NYC,2022-03-12,5.0,0.0,48.02,24.26,East Village,New York,0,49,1093
NYC,2022-03-12,5.0,0.0,48.02,24.26,Harlem,New York,0,158,1215
NYC,2022-03-12,5.0,0.0,48.02,24.26,Hempstead,New York,0,280,2103
NYC,2022-03-12,5.0,0.0,48.02,24.26,Lower East Side,New York,0,71,1121
NYC,2022-03-12,5.0,0.0,48.02,24.26,Midtown East,New York,0,34,1058
NYC,2022-03-12,5.0,0.0,48.02,24.26,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-12,5.0,0.0,48.02,24.26,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-13,0.0,0.0,35.06,22.1,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-13,0.0,0.0,35.06,22.1,Brooklyn ,New York,0,182,1228
NYC,2022-03-13,0.0,0.0,35.06,22.1,East Village,New York,0,49,1093
NYC,2022-03-13,0.0,0.0,35.06,22.1,Harlem,New York,0,158,1215
NYC,2022-03-13,0.0,0.0,35.06,22.1,Hempstead,New York,0,280,2103
NYC,2022-03-13,0.0,0.0,35.06,22.1,Lower East Side,New York,0,71,1121
NYC,2022-03-13,0.0,0.0,35.06,22.1,Midtown East,New York,0,34,1058
NYC,2022-03-13,0.0,0.0,35.06,22.1,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-13,0.0,0.0,35.06,22.1,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-14,0.0,0.0,55.94,33.08,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-14,0.0,0.0,55.94,33.08,Brooklyn ,New York,0,182,1228
NYC,2022-03-14,0.0,0.0,55.94,33.08,East Village,New York,0,49,1093
NYC,2022-03-14,0.0,0.0,55.94,33.08,Harlem,New York,0,158,1215
NYC,2022-03-14,0.0,0.0,55.94,33.08,Hempstead,New York,0,280,2103
NYC,2022-03-14,0.0,0.0,55.94,33.08,Lower East Side,New York,0,71,1121
NYC,2022-03-14,0.0,0.0,55.94,33.08,Midtown East,New York,0,34,1058
NYC,2022-03-14,0.0,0.0,55.94,33.08,Murray Hill / 33rd,New York,0,17,22
NYC,2022-03-14,0.0,0.0,55.94,33.08,Upper East Side / 22nd,New York,0,18,23
NYC,2022-03-15,0.0,0.0,68.0,46.04,Brooklyn Smith Street,New York,0,257,2052
NYC,2022-03-15,0.0,0.0,68.0,46.04,Brooklyn ,New York,0,182,1228
NYC,2022-03-15,0.0,0.0,68.0,46.04,East Village,New York,0,49,1093
NYC,2022-03-15,0.0,0.0,68.0,46.04,Harlem,New York,0,158,1215
NYC,2022-03-15,0.0,0.0,68.0,46.04,Hempstead,New York,0,280,2103
NYC,2022-03-15,0.0,0.0,68.0,46.04,Lower East Side,New York,0,71,1121
NYC,2022-03-15,0.0,0.0,68.0,46.04,Midtown East,New York,0,34,1058
